publication_view.author;publication_view.publication_title;publication_view.publication_year
Shen, G., Fang, Y., Bischoff, J.L., Feng, Y.-x., Zhao, J.-x.;Mass spectrometric U-series dating of the Chaoxian hominin site at Yinshan, eastern China;1996;
Shen, G., Gao, X., Gao, B., Granger, D.E.;Age of Zhoukoudian Homo erectus determined with 26Al/10Be burial dating;2009;
Shen, G., Gao, X., Zhao, J., Collerson, K.D.;U-Series dating of locality 15 at Zhoukoudian, China, and implications for hominid evolution;2004;
Shen, G., Jin, L.;U-Series age of speleothem samples from Xiaohui Cave in Shuicheng, Guizhou Province;1992;
Shen, G., Jin, L.;U-series age of Yanhui Cave, the site of Tongzi Man;1991;
Shen, G., Jin, L.;U-series dating of speleothem samples from guanyindong cave at qianxi county, Guizhou province;1992;
Shen, G., Liu, J., Jin, L.;Preliminary results on U-series dating of Panxian Dadong in Guizhou province, S-W China;1997;
Shen, G., Wang, W., Cheng, H., Edwards, R.L.;Mass spectrometric U-series dating of Laibin hominid site in Guangxi, southern China;2007;
Shen, G., Wang, Y., Tu, H., Tong, H., Wu, Z., Kuman, K., Fink, D., Granger, D.E.;Isochron 26Al/10Be burial dating of Xihoudu: Evidence for the earliest human settlement in northern China;2020;
Shengquan, C., Fei, X.;Report on the excavation of microliths site at Youfang, Yangyuan County, Hebei Province;1989;
Sheppard, P.J., Kleindienst, M.R.;Technological change in the Earlier and Middle Stone Age of Kalambo Falls (Zambia);1996;
Sheremetskaya, E.D., Borisova, O.K., Panin, A.V.;Planation of Moscow glaciation periglacial zone during postglacial epoch;2012;
Sherwood, R.J., Ward, S.C., Hill, A.;The taxonomic status of the Chemeron temporal (KNM-BC 1);2002;
Shick, K.D.;Modeling the formation of Early Stone Age artifact concentrations;1987;
Shimelmitz, R., Barkai, R., Gopher, A.;Systematic blade production at late Lower Paleolithic (400-200 kyr) Qesem Cave, Israel;2011;
Shipman, P., Potts, R., Pickford, M.;Lainyamok, a new middle Pleistocene hominid site;1983;
Shipton, C., Clarkson, C., Pal, J.N., Jones, S.C., Roberts, R.G., Harris, C., Gupta, M.C., Ditchfield, P.W., Petraglia, M.D.;Generativity, hierarchical action and recursion in the technology of the Acheulean to Middle Palaeolithic transition: A perspective from Patpara, the Son Valley, India;2013;
Shirokov, V.N., Volkov, R.B., Kosintsev, P.A., Lapteva, E.G.;Paleoliticheskaya stoyanka Bogdanovka [Palaeolithic site of Bogdanovka];2011;
Shunkov, M.V., Fedorchenko, A.Y., Kozlikin, M.B., Belousova, N.E., Pavlenok, G.D.;Bone Tools and Ornaments from the Early Upper Paleolithic Deposits in the Main Chamber of Denisova Cave: 2016 Collection;2016;
Sicard, S.;L'Aurignacien archaique de l'Esquicho-Grapaou. Analyse typo-technologique du débitage;1994;
Sier, M.J., Parés, J.M., Antoine, P., Locht, J.-L., Dekkers, M.J., Limondin-Lozouet, N., Roebroeks, W.;Evidence for the Blake Event recorded at the Eemian archaeological site of Caours, France;2014;
Sierralta, M., Frechen, M., Urban, B.;230Th/U dating results from opencast mine Schöningen;2012;
Sievers, C.;Seeds from the Middle Stone Age layers at Sibudu Cave;2006;
Sifogeorgaki, I., Klinkenberg, V., Esteban, I., Murungi, M., Carr, A.S., van den Brink, V.B., Dusseldorp, G.L.;New Excavations at Umhlatuzana Rockshelter, KwaZulu-Natal, South Africa: a Stratigraphic and Taphonomic Evaluation;2020;
Sikora, M., Pitulko, V.V., Sousa, V.C., Allentoft, M.E., Vinner, L., Rasmussen, S., Margaryan, A., de Barros Damgaard, P., de la Fuente, C., Renaud, G., Yang, M.A., Fu, Q., Dupanloup, I., Giampoudakis, K., Nogués-Bravo, D., Rahbek, C., Kroonen, G., Peyrot, M., McColl, H., Vasilyev, S.V., Veselovskaya, E., Gerasimova, M., Pavlova, E.Y., Chasnyk, V.G., Nikolskiy, P.A., Gromov, A.V., Khartanovich, V.I., Moiseyev, V., Grebenyuk, P.S., Fedorchenko, A.Y., Lebedintsev, A.I., Slobodin, S.B., Malyarchuk, B.A., Martiniano, R., Meldgaard, M., Arppe, L., Palo, J.U., Sundell, T., Mannermaa, K., Putkonen, M., Alexandersen, V., Primeau, C., Baimukhanov, N., Malhi, R.S., Sjögren, K.-G., Kristiansen, K., Wessman, A., Sajantila, A., Lahr, M.M., Durbin, R., Nielsen, R., Meltzer, D.J., Excoffier, L., Willerslev, E.;The population history of northeastern Siberia since the Pleistocene;2019;
Sikora, M., Seguin-Orlando, A., Sousa Vitor, C., Albrechtsen, A., Korneliussen, T., Ko, A., Rasmussen, S., Dupanloup, I., Nigst Philip, R., Bosch Marjolein, D., Renaud, G., Allentoft Morten, E., Margaryan, A., Vasilyev Sergey, V., Veselovskaya Elizaveta, V., Borutskaya Svetlana, B., Deviese, T., Comeskey, D., Higham, T., Manica, A., Foley, R., Meltzer David, J., Nielsen, R., Excoffier, L., Mirazon Lahr, M., Orlando, L., Willerslev, E.;Ancient genomes show social and reproductive behavior of early Upper Paleolithic foragers;2017;
Sillen, A., Parkington, J.;Diagenesis of Bones from Eland's Bay Cave;1996;
Silva, A.C., Mauran, G., Rosado, T., Mirão, J., Candeias, A., Carpetudo, C., Caldeira, A.T.;A Arte Rupestre da Gruta do Escoural - Novos Dados Analíticos sobre a Pintura Paleolítica;2017;
Silvestrini, M., Peresani, M., Muratori, S.;Frequentazioni antropiche allo spartiacque appenninico nella fase antica del Paleolitico superiore: il sito di Fonte delle Mattinate (Altopiano di Colfìorito);2005;
Simek, J.F.;A Paleolithic Sculpture from the Abri Labattut in the American Museum of Natural History Collection;1986;
Simek, J.F.;Stone Tool Assemblages from Krapina (Croatia, Yugoslavia);1991;
Simek, J.F., Smith, F.H.;Chronological changes in stone tool assemblages from Krapina (Croatia);1997;
Simon, U.;Eiszeitkunst im süddeutsch-schweizerischen Jura: Anfänge der Kunst;2001;
Simon, U., Händel, M., Einwögerer, T., Neugebauer-Maresch, C.;The archaeological record of the Gravettian open air site Krems-Wachtberg;2014;
Simonet, A.;Brassempouy (Landes, France) ou la matrice gravettienne de l'europe;2012;
Simonet, A.;Les gravettiens des Pyrenees. Des armes aux sociétés;2009;
Singer, R.;Mythical African 'Australoids' and Triangular Bricks: The Cape Flats Skull in Retrospect;1993;
Singer, R.;The Saldanha skull from Hopefield, South Africa;1954;
Singer, R., Gladfelter, B.G., Wymer, J.J.;The Lower Paleolithic Site at Hoxne;1983;
Singer, R., Wymer, J.;The Middle Stone Age at Klasies River Mouth in South Africa;1982;
Singer, R., Wymer, J., Gladfelter, B.G.;The Lower Palaeolithic Site at Hoxne, England;1993;
Singer, R., Wymer, J., Gladfelter, B.G., Wolff, R.G.;Excavation of the Clactonian Industry at the Golf Course, Clacton-on-Sea, Essex;1973;
Singh, I., Blackwell, B., Hardy, M., Doyon, L., Chen, K., Pothier Bouchard, G., Blickstein, J., David, F., Skinner, A.;ESR Dating the Mousterian industry and Neanderthal Fossils in Layer J at Grotte du Bison, Arcy-sur-Cure, Yonne, France;2014;
Singhvi, A.K., Williams, M.A.J., Rajaguru, S.N., Misra, V.N., Chawla, S., Stokes, S., Chauhan, N., Francis, T., Ganjoo, R.K., Humphreys, G.S.;A ∼200 ka record of climatic change and dune activity in the Thar Desert, India;2010;
Sinitsyn, A.A.;A Palaeolithic "Pompeii" at Kostenki, Russia;2003;
Sinitsyn, A.A.;Earliest Upper Paleolithic layers at Kostenki 14 (Markina Gora): Preliminary results of the 1998-2001 excavations;2004;
Sinitsyn, A.A.;Kostenki 14 (Markina Gora) - a key section of cultural and geological sequences for the East European Upper palaeolithic in the chronological framework of 27-42 ka;2015;
Sinitsyn, A.A.;Les sepultures de Kostenki: chronologie, attribution culturelle, rite funeraire;2004;
Sinitsyn, A.A., Hoffecker, J.F.;Radiocarbon dating and chronology of the Early Upper Paleolithic at Kostenki;2006;
Sinitsyn, A.A., Praslov, N.D., Svezhentsev, Y.S., Sulershitskii, L.D.;Radiouglerodnaya khronologiya verkhnego paleolita Vostochnoi Evropy [Upper Palaeolithic radiocarbon chronology of Eastern Europe];1997;
Sirakov, N., Guadelli, J.-L., Ivanova, S., Sirakova, S., Boudadi-Maligne, M., Dimitrova, I., Ph, F., Ferrier, C., Guadelli, A., Iordanova, D.;An ancient continuous human presence in the Balkans and the beginnings of human settlement in western Eurasia: A Lower Pleistocene example of the Lower Palaeolithic levels in Kozarnika cave (North-western Bulgaria);2010;
Sitlivy, V., Anghelinu, M., V., C., Nitja, L., Uthmeier, T., Hauck, T., Băltean, I., Hilgers, A., Schmidt, C.;Placing the Aurignacian from Banat (Soutwestern Romania) into the European Early Upper Paleolithic context.Placing the Aurignacian from Banat (Soutwestern Romania) into the European Early Upper Paleolithic context;2014;
Sitlivy, V., Chabai, V., Anghelinu, M., Uthmeier, T., Kels, H., Hilgers, A., Schmidt, C., Nitja, L., Băltean, I., Veselsky, A., Hauck, T.;The earliest Aurignacian in Romania: New investigations at the open air site of Romanesti-Dumbravita I (Banat);2012;
Sitlivy, V., Chabai, V., Anghelinu, M., Uthmeier, T., Kels, H., Niţă, L., Băltean, I., Veselsky, A., Ţuţu, C.;Preliminary reassessment of the Aurignacian in Banat (South-western Romania);2014;
Sitlivy, V., Sobczyk, K., Karkanas, P., Koumouzelis, M.;Middle paleolithic lithic assemblages of the Klissoura cave, peloponnesus, Greece: A comparative analysis;2007;
Skelton, R.R., McHenry, H.M.;Evolutionary relationships among early hominids;1992;
Skinner, A.R., Blackwell, B.A., Mian, A., Baboumian, S.M., Blickstein, J.I., Wrinn, P.J., Krivoshapkin, A., Derevianko, A., Lundburg, J.A.;ESR analyses on tooth enamel from the Paleolithic layers at the Obi-Rakhmat hominid site, Uzbekistan: tackling a dating controversy;2007;
Skinner, A.R., Blackwell, B.A.B., Martin, S., Ortega, A., Blickstein, J.I.B., Golovanova, L.V., Doronichev, V.B.;ESR dating at Mezmaiskaya Cave, Russia;2005;
Slavinsky, V.S., Rybin, E.P., Belousova, N.E.;Variation in middle and upper paleolithic reduction technology at Kara-Bom, the Altai mountains: refitting studies;2016;
Slavinsky, V.S., Rybin, E.P., Khatsenovich, A.M., Belousova, N.E.;Intentional fragmentation of blades in the initial upper Paleolithic industries of the Kara-Bom site (Altai, Russia);2019;
Slimak, L.;Artisanats et territoires des chasseurs moustériens de Champ Grand;2008;
Slimak, L.;Circulations de matériaux très exotiques au Paléolithique moyen, une notion de détail;2008;
Slimak, L.;Implantations humaines et exploitation des obsidiennes en Anatolie centrale durant le Pleistocene;2004;
Slimak, L.;La grotte de Néron à Soyons (Ardèche): 140 ans de recherches en Préhistoire;2007;
Slimak, L.;Les dernières Expressions du Moustérien entre Loire et Rhône;2004;
Slimak, L.;Mise en évidence d'une composante laminaire et lamellaire dans un complexe moustérien du Sud de la France/Evidence of blade and bladelet debitage in a Mousterian complex from Southern France;1999;
Slimak, L., Balkan-Atli, N., Binder, D., Dincer, B.;Installations Paleolithiques en Cappadoce. Etat des connaissances de cinq annees de recherche sur les premiers peuplements humains en Anatolie centrale;2005;
Slimak, L., Kuhn, S.L., Balkan-Atli, N., Binder, D., Dincer, B.;Kaletepe (Dere 3). Recherches sur les premiers peuplements d'Anatolie. La campagne de 2005;2006;
Slimak, L., Kuhn, S.L., Balkan-Atli, N., Binder, D., Grenet, M., Dincer, B.;Kaletepe Deresi 3. De l'Acheuleen au Mousterien en Anatolie centrale;2007;
Slimak, L., Kuhn, S.L., Roche, H., Mouralis, D., Buitenhuis, H., Balkan-Atli, N., Binder, D., Kuzucuoglu, C., Guillou, H.;Kaletepe Deresi 3 (Turkey): Archaeological evidence for early human settlement in Central Anatolia;2008;
Slimak, L., Lewis, J.E., Crégut-Bonnoure, E., Metz, L., Ollivier, V., André, P., Chrzavzez, J., Giraud, Y., Jeannet, M., Magnin, F.;Le Grand Abri aux Puces, a Mousterian site from the Last Interglacial: paleogeography, paleoenvironment, and new excavation results;2010;
Slimak, L., Mouralis, D., Balkan-Atli, N., Kuhn, S.L., Binder, D.;The Pleistocene peopling of Anatolia: Evidence from Kaletepe Deresi;2006;
Slimak, L., Pasesse, D., Giraud, Y.;La grotte Mandrin et les premières occupations du Paléolithique supérieur en Occitanie orientale;2002;
Slimak, L., Pesesse, D., Giraud, Y.;Reconnaissance d'une installation du Protoaurignacien en vallée du Rhône. Implications sur nos connaissances concernant les premiers hommes modernes en France méditerranéenne;2006;
Slimak, L., Roche, H., Mouralis, D., Buitenhuis, H., Balkan-Atli, N., Binder, D., Kuzucuoglu, C., Grenet, M.;Kaletepe Deresi 3 (Turquie), aspects archéologiques, chronologiques et paléontologiques d'une séquence pléistocène en Anatolie centrale;2004;
Slimak, L., Svendsen, J.I., Mangerud, J., Plisson, H., Heggen, H.P., Brugere, A., Pavlov, P.Y.;Late Mousterian persistence near the Arctic Circle;2011;
Slon, V., Mafessoni, F., Vernot, B., de Filippo, C., Grote, S., Viola, B., Hajdinjak, M., Peyrégne, S., Nagel, S., Brown, S.;The genome of the offspring of a Neanderthal mother and a Denisovan father;2018;
Slon, V., Viola, B., Renaud, G., Gansauge, M.-T., Benazzi, S., Sawyer, S., Hublin, J.-J., Shunkov, M.V., Derevianko, A.P., Kelso, J.;A fourth Denisovan individual;2017;
Smith, F.H., Ahern, J.C.;Additional cranial remains from Vindija cave, Croatia;1994;
Smith, F.H., Trinkaus, E., Pettitt, P.B., Karavanić, I., Paunović, M.;Direct radiocarbon dates for Vindija G1 and Velika Pecina Late Pleistocene hominid remains;1999;
Smith, G.M.;Neanderthal megafaunal exploitation in Western Europe and its dietary implications: A contextual reassessment of La Cotte de St Brelade (Jersey);2015;
Smith, G.M.;Taphonomic resolution and hominin subsistence behaviour in the Lower Palaeolithic: differing data scales and interpretive frameworks at Boxgrobe and Swanscombe (UK);2013;
Smith, P., Nshimirimana, R., de Beer, F., Morris, D., Jacobson, L., Chazan, M., Horwitz, L.K.;Canteen Kopje: A new look at an old skull;2012;
Smith, P.E.L.;Le Solutréen en France;1966;
Smith, T.M., Toussaint, M., Reid, D.J., Olejniczak, A.J., Hublin, J.-J.;Rapid dental development in a middle Paleolithic Belgian Neanderthal;2007;
Smits, L.G.A.;Rock-Painting Sites in the Upper Senqu Valley, Lesotho;1973;
Sobolewska, M.;Flora interglacjału eemskiego z Góry Kalwarii (summary: Flora of the Eemian Interglacial from Góra Kalwaria (Central Poland));1961;
Socha, P.;Rodent palaeofaunas from Bisnik Cave (Krakow-Czestochowa Upland, Poland): palaeoecological, palaeoclimatic and biostratigraphic reconstruction;2014;
Soficaru, A., Doboş, A., Trinkaus, E.;Early modern humans from the Peştera Muierii, Baia de Fier, Romania;2006;
Soficaru, A., Petrea, C., Dobos, A., Trinkaus, E.;The Human Cranium from the Pestera Cioclovina Uscata, Romania;2007;
Solan, M., Day, M.H.;The Baringo (Kapthurin) ulna;1992;
Solecki, R.S.;Shanidar Cave, a Late Pleistocene site in northern Iraq;1964;
Solecki, R.S.;Shanidar Cave, a Palaeolithic site in northern Iraq, and its relationship to the Stone Age sequence of Iraq;1955;
Solecki, R.S.;Shanidar, the First Flower People;1971;
Soler, J., Soler, N., Agustí, B., Bolus, M.;The Gravettian calvaria from Mollet III cave (Serinyà, Northeastern Iberian Peninsula);2013;
Sommé, J.;Le gisement paléolithique de Biache-Saint-Vaast (Pas-de-Calais);1978;
Sommé, J., Lautridou, J.P., Heim, J., Maucorps, J., Puisségur, J.J., Rousseau, D.D., Thévenin, A., Vliet-Lanoё, B.;Le cycle climatique du Pléistocene supérieur dans les loess d'Alsace à Achenheim;1986;
Sondaar, P.;Faunal evolution and the mammalian biostratigraphy of Java;1984;
Song, Y., Cohen, D., Shi, J., Wu, X., Kvavadze, E., Goldberg, P., Zhang, S., Zhang, Y.;Environmental reconstruction and dating of Shizitan 29, Shanxi Province: An early microblade site in north China;2017;
Song, Y., Grimaldi, S., Santaniello, F., Cohen, D.J., Shi, J., Bar-Yosef, O.;Re-thinking the evolution of microblade technology in East Asia: Techno-functional understanding of the lithic assemblage from Shizitan 29 (Shanxi, China);2019;
Song, Y., Shi, J.M.;The excavation of Locality S29 at the Shizitan site, Jixian county, Shanxi province [in Chinese];2017;
Sonneville-Bordes, D.d.;Le Paléolithique supérieur en Perigord, Tome I;1960;
Sonneville-Bordes, D.d.;Le Paléolithique supérieur en Perigord, Tome II;1960;
Sonneville-Bordes, D.d.;Les industries aurignaciennes de l'abri de Caminade-Est, commune de la Canéda (Dordogne);1970;
Sonneville-Bordes, D.d.;Les industries moustériennes de l'abri Caminade-Est, commune de la Canéda (Dordogne);1969;
Sonneville-Bordes, D.d., Mortureux, B.;L'abri Caminade, commune de la Canéda (Dordogne);1952;
Soressi, M.;Le Moustérien de tradition acheulénne du sud-oust de la France. Discussion sur la signification du faciès à partir de l'étude comparée de quatre sites: Pech-de-l'Azé, Le Moustier, La Rochette et la Grotte XVI;2002;
Soressi, M.;Révision taphonomique et techno-typologique des deux ensembles attribués au Châtelperronien de la Roche-à-Pierrot à Saint-Césaire;2011;
Soressi, M., Goval, E., Larmignat, B., Roussel, M.;Cartographie et modèles numériques de terrain du gisement de la transition Paléolithique moyen-Paléolithique supérieur des Cottés (Saint-Pierre-de-Maillé, Vienne);2009;
Soressi, M., Jones, H.L., Rink, W.J., Maureille, B., Tillier, A.-M.;The Pech-de-l'Azé I Neandertal child: ESR, uranium-series, and AMS 14C dating of its MTA type B context;2007;
Soressi, M., Maureille, B.;A propos de la position chronostratigraphique de l'enfant du Pech-de-l'Azé I (commune de Carsac, Dordogne): la résurrection du fantôme;2000;
Soressi, M., Rendu, W., Texier, J.P., Claud, E., D'Errico, F., Laroulandie, V., Maureille, B., Niclot, M., Schwortz, S., Tillier, A.-M.;Pech-de-l'Azé I (Dordogne, France): nouveau regard sur un gisement moustérien de tradition acheuléenne connu depuis le XIXe siècle;2008;
Soressi, M., Roussel, M., Rendu, W., Primault, J., Rigaud, S., Texier, J.-P., Richter, D., Talamo, S., Ploquin, F., Larmignat, B., Tavormina, C., Hublin, J.-J.;Les Cottés (Vienne). Nouveaux travaux sur l'un des gisements de référence pour la transition Paléolithique moyen/supérieur;2010;
Soriano, S.;La production de lamelles torses dans les niveaux du Paléolithique Supérieur Ancien d'Umm el Tlel (Syrie). Exploration théorique et expérimentale de ses modalités;1998;
Soriano, S., Villa, P.;Early Levallois and the beginning of the Middle Paleolithic in central Italy;2017;
Soriano, S., Villa, P., Wadley, L.;Blade technology and tool forms in the Middle Stone Age of South Africa: the Howiesons Poort and post-Howiesons Poort at Rose Cottage Cave;2007;
Sotnikova, M.V., Vislobokova, I.A.;Pleistocene Mammals from Lakhuti, Southern Tajikistan, U.S.S.R;1990;
Spagnolo, V., Aureli, D., Martini, I., Ekberg, I., Boschin, F., Crezzini, J., Poggi, G., Boscato, P., Ronchitelli, A.;Short and close in time: overlapped occupation from the layer 56 of the Molare Rock shelter (Southern Italy);2020;
Spagnolo, V., Crezzini, J., Marciani, G., Capecchi, G., Arrighi, S., Aureli, D., Ekberg, I., Scaramucci, S., Tassoni, L., Boschin, F., Moroni, A.;Neandertal camps and hyena dens. Living floor 150A at Grotta dei Santi (Monte Argentario, Tuscany, Italy);2020;
Spagnolo, V., Marciani, G., Aureli, D., Berna, F., Boscato, P., Ranaldo, F., Ronchitelli, A.;Between hearths and volcanic ash: The SU 13 palimpsest of the Oscurusciuto rock shelter (Ginosa - Southern Italy): Analytical and interpretative questions;2016;
Spagnolo, V., Marciani, G., Aureli, D., Berna, F., Toniello, G., Astudillo, F., Boschin, F., Boscato, P., Ronchitelli, A.;Neanderthal activity and resting areas from stratigraphic unit 13 at the Middle Palaeolithic site of Oscurusciuto (Ginosa - Taranto, Southern Italy);2019;
Spinapolice, E.E.;Les Néandertaliens du talon Technologie lithique et mobilité au Paléolithique moyen dans le Salento (Pouilles, Italie méridionale);2018;
Spinapolice, E.E.;Neanderthal mobility pattern and technological organization in the Salento (Apulia, Italy);2018;
Spinapolice, E.E.;Raw material economy in Salento (Apulia, Italy): new perspectives on Neanderthal mobility patterns;2012;
Spoor, F., Leakey, M.G., Gathogo, P.N., Brown, F.H., Anton, S.C., McDougall, I., Kiarie, C., Manthi, F.K., Leakey, L.N.;Implications of new early Homo fossils from Ileret, east of Lake Turkana, Kenya;2007;
Srdoc, D., Sliepcevic, A., Obelic, B., Horvatincic, N.;Rudjer Bokovic Institute radiocarbon measurements V;1979;
Stahlschmidt, M., Miller, C.E., Kandel, A., Goldberg, P., Conard, N.;Site formation processes and Late Natufian domestic spaces at Baaz Rockshelter, Syria: A micromorphological perspective;2017;
Stahlschmidt, M.C., Miller, C.E., Ligouis, B., Hambach, U., Goldberg, P., Berna, F., Richter, D., Urban, B., Serangeli, J., Conard, N.J.;On the evidence for human use and control of fire at Schöningen;2015;
Stammers, R.C., Herries, A.I.R., Spry, C., Armstrong, B.J., Caruana, M.V.;Holocene LSA archaeology from Equus Cave, Buxton-Norlim Limeworks, South Africa: an analysis of the bone tool assemblage;2017;
Starkovich, B.M.;Paleolithic subsistence strategies and changes in site use at Klissoura Cave 1 (Peloponnese, Greece);2017;
Starkovich, B.M., Elefanti, P., Karkanas, P., Panagopoulou, E.;Site Use and Maintenance in the Middle Palaeolithic at Lakonis I (Peloponnese, Greece);2020;
Starkovich, B.M., Munro, N.D., Stiner, M.C.;Terminal Pleistocene subsistence strategies and aquatic resource use in southern Greece;2018;
Starkovich, B.M., Stiner, M.C.;Upper Palaeolithic animal exploitation at Klissoura Cave 1 in Southern Greece: Dietary trends and mammal taphonomy;2010;
Steele, T., Mackay, A., Fitzsimmons, K., Marwick, B., Orton, J., Schwortz, S., Stahlschmidt, M., Igreja, M.;Varsche Rivier 003: A Middle and Later Stone Age Site with Still Bay and Howiesons Poort Assemblages in Southern Namaqualand, South Africa;2016;
Steele, T.E.;Late Pleistocene human subsistence in northern Africa: The state of our knowledge and placement in a continental context;2012;
Steele, T.E., Klein, R.G.;The Middle and Later Stone Age Faunal Remains from Diepkloof Rock Shelter, Western Cape, South Africa;2013;
Steele, T.E., Mackay, A., Orton, J., Schwortz, S.;Varsche Rivier 003, a new Middle Stone Age site in southern Namaqualand, South Africa;2012;
Stefan, V.H., Trinkaus, E.;La Quina 9 and Neanderthall mandibular variability;1998;
Steguweit, L.;Gebrauchsspuren an Artefakten der Hominidenfundstelle Bilzingsleben (Thüringen);2003;
Steguweit, L.;New Insights into the Inventory of Alberndorf (Lower Austria) and some Remarks on the "Epi-Aurignacien" controversy;2010;
Steigerwald, S.;Paläolithische Menschenreste im Burgund;2014;
Steiner, W.;Das geologische Profil des Travertin-Komplexes von Taubach bei Weimar;1977;
Steiner, W.;Geologischer Aufbau und Bildungsgeschichte der Travertine von Weimar-Ehringsdorf unter besonderer Betrachtung der Hominiden- und Artefaktfundschichten;1993;
Steiner, W., Steiner, U.;Ein Steinzeitlicher Rastplatz im oberen Travertin von Ehringsdorf bei Weimar;1975;
Steiner, W., Wiefel, H.;Zur Geschichte der geologischen Erforschung des Travertins von Taubach bei Weimar;1977;
Stekelis, M., Bar-Yosef, O., Schick, T.;Archaeological Excavations at Ubeidiya 1960-1963;1966;
Stepanchuk, V.;Prolom II, a Middle Palaeolithic cave site in the Eastern Crimea with non-utilitarian bone artefacts;1993;
Stepanchuk, V.N.;Mira: stoyanka rannego verkhnego paleolita na Dnepre [Mira: Early Upper Paleolithic site in the Dnieper Valley];2012;
Stepanchuk, V.N.;Mira: stoyanka rannego verkhnego paleolita na Dnepre [Mira: an Early Upper Palaeolithic site on Dniepr];2012;
Stepanchuk, V.N.;The earliest evidence for dwelling construction in the Upper Palaeolithic of Eastern Europe: A 30,000-year-old surface structure from Mira Layer I;2021;
Stepanchuk, V.N., Vasil'ev, S.V.;Pozdnie neandertal'tsy Kryma. Zaskal'naya VI (Kolosovskaya). Sloi III i IIIa [Late Neanderthals of the Crimea. Zaskal'naya VI (Kolosov site). Layers III and IIIa];2018;
Stepanchuk, V.N., Vasilyev, S.V., Khaldeeva, N.I., Kharlamova, N.V., Borutskaya, S.B.;The last Neanderthals of Eastern Europe: Micoquian layers IIIa and III of the site of Zaskalnaya VI (Kolosovskaya), anthropological records and context;2017;
Stephan, W.;Zur Geologie des Interglazialvorkommens von Eurach/Oberbayern;1979;
Stern, N., Bunn, H.T., Kroll, E.M., Haynes, G., McBrearty, S., Sept, J., Willoughby, P.R.;The Structure of the Lower Pleistocene Archaeological Record: A Case Study From the Koobi Fora Formation [and Comments and Reply];1993;
Stevens, R.E., Jacobi, R.M., Higham, T.F.G.;Reassessing the diet of Upper Palaeolithic humans from Gough's Cave and Sun Hole, Cheddar Gorge, Somerset, UK;2010;
Stevenson, A.C., Phethean, S.J., Robinson, J.E.;The Palaeosalinity and vegetational history of Garaet et Ichkeul, northwest Tunisia;1993;
Stewart, B.A., Dewar, G.I., Morley, M.W., Inglis, R.H., Wheeler, M., Jacobs, Z., Roberts, R.G.;Afromontane foragers of the Late Pleistocene: Site formation, chronology and occupational pulsing at Melikane Rockshelter, Lesotho;2012;
Stewart, J.R., Parfitt, S.A.;Late Quaternary environmental change at Walou Cave: evidence from a preliminary analysis of the small mammals;2011;
Stiles, D.;Early hominid behaviour and culture tradition: raw material studies in Bed II, Olduvai Gorge;1991;
Stiles, D.N., Hay, R.L., O'Neil, J.R.;The MNK Chert factory site, Olduvai Gorge, Tanzania;1974;
Stiner, M.C.;"Standardization" in Upper Palaeolithic Ornaments at the Coastal Sites of Riparo Mochi and Ucagizli Cave;2003;
Stiner, M.C.;Honor among thieves: a zooarchaeological study of Neandertal ecology;1994;
Stiner, M.C.;The faunal remains from Grotta Guattari: a taphonomic perspective;1991;
Stiner, M.C., Kozlowski, J.K., Kuhn, S.L., P., K., Koumouzelis, M.;Klissoura Cave 1 and the Upper Paleolithic of Southern Greece in cultural and ecological context;2010;
Stiner, M.C., Kuhn, S.L., Gülec, E.;Early Upper Paleolithic shell beads at Ucagizli Cave I (Turkey): Technology and the socioeconomic context of ornament life-histories;2013;
Stiner, M.C., Munro, N.D.;On the evolution of diet and landscape during the Upper Paleolithic through Mesolithic at Franchthi Cave (Peloponnese, Greece);2011;
Stoetzel, E., Denys, C., Bailon, S., El Hajraoui, M.A., Nespoulet, R.;Taphonomic Analysis of Amphibian and Squamate Remains from El Harhoura 2 (Rabat-Témara, Morocco): Contributions to Palaeoecological and Archaeological Interpretations;2011;
Stokes, S., Bailey, R.;Optical dating of Nazlet Safaha & Nazlet Khater 4;2002;
Storm, P.;A carnivorous niche for Java Man? A preliminary consideration of the abundance of fossils in Middle Pleistocene Java;2012;
Storm, P.;The evolutionary significance of the Wajak skulls;1995;
Storm, P., Aziz, F., de Vos, J., Kosasih, D., Baskoro, S., van den Hoek Ostende, L.W.;Late Pleistocene Homo sapiens in a tropical rainforest fauna in East Java;2005;
Storm, P., Wood, R., Stringer, C., Bartsiokas, A., de Vos, J., Aubert, M., Kinsley, L., Grün, R.;U-series and radiocarbon analyses of human and faunal remains from Wajak, Indonesia;2013;
Stout, D., Quade, J., Semaw, S., Rogers, M.J., Levin, N.E.;Raw material selectivity of the earliest stone toolmakers at Gona, Afar, Ethiopia;2005;
Strahl, J.;Zur pollenanalytischen Untersuchung verschiedener Aufschlüsse und archäologischer Fundstellen aus dem Eem-Vorkommen Jänschwalde;2016;
Strahl, J., Krbetschek, M.R., Luckert, J., Machalett, B., Meng, S., Oches, E.A., Rappsilber, I., Wansa, S., Zöller, L.;Geologie, Paläontologie und Geochronologie des Eem-Beckens Neumark-Nord 2 und Vergleich mit dem Becken Neumark-Nord 1 (Geiseltal, Sachsen-Anhalt);2010;
Strait, D.S., Orr, C.M., Hodgkins, J., Spassov, N., Gurova, M., Miller, C., Tzankov, T.;The Human Fossil Record of Bulgaria and the Formulation of Biogeographic Hypotheses;2016;
