assemblage.name;assemblage.category;country_continent.continent;locality.idlocality;locality.x;locality.y
Spy 3rd Ossiferous Horizon Human Remains 12;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 13;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 14;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 15;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 16;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 17;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 18;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 19;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 2;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 20;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 21;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 22;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 23;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 24;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 25;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 26;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 27;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 28;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 29;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 3;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 30;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 31;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 32;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 33;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 34;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 35;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 36;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 37;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 38;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 39;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 4;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 40;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 41;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 43;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 44;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 45;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 5;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 6;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 7;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 8;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Human Remains 9;human remains;Europe;Spy;4.6745163;50.4802186;
Spy 3rd Ossiferous Horizon Mousterian Collection;raw material, technology, typology;Europe;Spy;4.6745163;50.4802186;
L5 Fauna;paleofauna;Europe;St Côme de Fresné;-0.600273;49.340021;
L5 Malacofauna;paleofauna;Europe;St Côme de Fresné;-0.600273;49.340021;
L6 Malacofauna;paleofauna;Europe;St Côme de Fresné;-0.600273;49.340021;
L7 Malacofauna;paleofauna;Europe;St Côme de Fresné;-0.600273;49.340021;
SM1;plant remains;Europe;St Côme de Fresné;-0.600273;49.340021;
SM2;plant remains;Europe;St Côme de Fresné;-0.600273;49.340021;
SM3;plant remains;Europe;St Côme de Fresné;-0.600273;49.340021;
SP1;plant remains;Europe;St Côme de Fresné;-0.600273;49.340021;
SP2;plant remains;Europe;St Côme de Fresné;-0.600273;49.340021;
SP3;plant remains;Europe;St Côme de Fresné;-0.600273;49.340021;
SP4;plant remains;Europe;St Côme de Fresné;-0.600273;49.340021;
SP5;plant remains;Europe;St Côme de Fresné;-0.600273;49.340021;
SP6;plant remains;Europe;St Côme de Fresné;-0.600273;49.340021;
SP7;plant remains;Europe;St Côme de Fresné;-0.600273;49.340021;
SP8;plant remains;Europe;St Côme de Fresné;-0.600273;49.340021;
SP9;plant remains;Europe;St Côme de Fresné;-0.600273;49.340021;
Stajnia Cave Aurignacian assemblage;organic tools, raw material, symbolic artifacts, technology, typology;Europe;Stajnia Cave;19.484444;50.616111;
Stajnia Cave MP assemblage;human remains, raw material, technology, typology;Europe;Stajnia Cave;19.484444;50.616111;
Cultural layers I-IV archaeological assemblage;function, organic tools, raw material, technology, typology;Europe;Starosele;33.934757;44.752616;
SBF Layer 1 Fauna;paleofauna;Africa;Steenbokfontein;18.334207;-32.161439;
SBF Layer 2 Fauna;paleofauna;Africa;Steenbokfontein;18.334207;-32.161439;
SBF Layer 3 Fauna;paleofauna;Africa;Steenbokfontein;18.334207;-32.161439;
SBF Layer 4a Fauna;paleofauna;Africa;Steenbokfontein;18.334207;-32.161439;
SBF Layer 4b Fauna;paleofauna;Africa;Steenbokfontein;18.334207;-32.161439;
SBF Surface Fauna;paleofauna;Africa;Steenbokfontein;18.334207;-32.161439;
Steinheim, antiquus schotter, fauna;paleofauna;Europe;Steinheim;9.2763;48.96824;
Steinheim, human remains;human remains;Europe;Steinheim;9.2763;48.96824;
Steinheim, primigenius schotter, fauna;paleofauna;Europe;Steinheim;9.2763;48.96824;
Steinheim, trogontherii schotter, fauna;paleofauna;Europe;Steinheim;9.2763;48.96824;
Steinheim, trogontherii-primigenius schotter, fauna;paleofauna;Europe;Steinheim;9.2763;48.96824;
Steinmuehle bei Veltheim Travertine fauna;paleofauna;Europe;Steinmuhle bei Veltheim;10.70476;52.037763;
Steinmuhle bei Veltheim Travertine Archaeological Assemblage;raw material, technology, typology;Europe;Steinmuhle bei Veltheim;10.70476;52.037763;
Steinmühle Travertine Flora;plant remains;Europe;Steinmuhle bei Veltheim;10.70476;52.037763;
L63 area 01;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Member 5 extension site Member 5 west 01;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Member 5 extension site Member 5 west 02;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterfontein Member 5 East Inventar;raw material, technology, typology;Africa;Sterkfontein;27.734548;-26.015692;
Sterfontein Member 5 West Inventar;raw material, technology, typology;Africa;Sterkfontein;27.734548;-26.015692;
Sterfontein Oldowan Infill Inventar;raw material, technology, typology;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Dump 1 Member 5 extension site 01;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Dump 3 Member 5 extension site 01;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Dump 3 Member 5 extension site 02;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Dump 3 Member 5 extension site 03;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Dump 3 Member 5 extension site 04;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Infill human remains 01;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Infill human remains 02;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Lincoln Cave South 01;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Lincoln Cave South 02;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Lincoln Cave South 03;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Lincoln Cave South 04;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 1;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 2;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 2 Fauna;paleofauna;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 2 Micromammalian Fauna;paleofauna;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 3;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 Fauna;paleofauna;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 Micromammalian Fauna;paleofauna;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 001;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 002;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 003;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 004;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 005;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 006;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 007;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 008;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 009;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 010;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 011;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 012;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 013;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 014;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 015;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 016;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 017;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 018;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 019;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 020;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 021;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 022;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 023;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 024;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 025;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 026;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 027;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 028;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 029;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 030;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 031;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 032;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 033;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 034;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 035;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 036;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 037;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 038;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 039;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 040;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 041;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 042;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 043;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 044;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 045;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 046;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 047;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 048;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 049;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 050;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 051;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 052;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 053;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 054;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 055;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 056;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 057;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 058;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 059;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 060;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 061;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 062;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 063;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 064;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 065;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 066;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 067;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 068;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 069;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 070;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 071;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 072;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 073;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 074;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 075;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 076;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 077;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 078;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 079;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 080;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 081;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 082;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 083;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 084;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 085;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 086;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 087;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 088;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 089;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 090;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 091;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 092;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 093;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 094;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 095;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 096;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 097;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 098;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 099;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 100;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 101;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 102;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 103;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 104;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 105;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 106;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 107;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 108;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 109;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 110;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 111;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 112;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 113;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 114;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 115;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 116;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 117;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 118;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 119;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 120;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 121;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 122;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 123;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 124;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 125;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 126;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 127;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 128;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 129;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 130;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 131;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 132;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 133;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 134;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 135;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 136;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 137;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 138;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 139;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 140;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 141;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 142;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 143;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 144;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 145;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 146;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 147;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 148;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 149;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 150;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 151;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 152;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 153;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 154;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 155;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 156;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 157;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 158;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 159;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 160;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 161;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 162;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 163;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 164;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 165;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 166;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 167;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 168;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 169;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 170;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 171;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 172;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 173;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 174;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 175;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 176;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 177;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 178;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 4 human remains 179;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 East (M5B) 01;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 East (M5B) 02;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 East (M5B) 03;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 East (M5B) 04;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 East (M5B) 05;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 Fauna;paleofauna;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 StW 53 Breccia (M5A) 01;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 Stw 53 breccia (M5A) 02;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 human remains 01;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 human remains 02;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 human remains 03;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 human remains 04;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 human remains 05;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 human remains 06;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 human remains 07;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 human remains 08;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 human remains 09;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 5 humanremains 01;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Member 6;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Oldowan infill;human remains;Africa;Sterkfontein;27.734548;-26.015692;
Sterkfontein Post Member 6 Infill;raw material, technology, typology;Africa;Sterkfontein;27.734548;-26.015692;
SM1;plant remains;Europe;Stone;-1.351991;50.783725;
